City,Country,PM2.5,PM10,NO2,O3,SO2,CO,NH3
mumbwa,ZM,2.16,2.63,0.32,29.68,0.43,260.35,0.24
berriozabal,MX,4.81,4.9,1.26,26.46,0.1,260.35,0.34
utrik,MH,0.5,0.86,0.0,33.26,0.01,170.23,0.0
port augusta,AU,0.5,0.81,0.1,54.36,0.06,280.38,0.13
blackmans bay,AU,1.87,2.1,1.03,43.27,0.16,213.62,0.15
correntina,BR,1.78,1.83,0.34,8.85,0.04,327.11,0.73
bredasdorp,ZA,0.8,2.23,0.48,55.08,0.18,230.31,0.17
avarua,CK,0.79,3.0,0.09,59.37,0.09,257.02,0.36
kirakira,SB,0.5,0.63,0.01,31.47,0.02,220.3,0.0
amahai,ID,0.91,1.13,0.56,23.96,0.12,283.72,0.03
weno,FM,0.5,1.01,0.1,19.31,0.02,176.91,0.0
cheria,DZ,1.72,3.53,0.6,61.51,0.14,191.93,0.08
enewetak,MH,0.53,1.41,0.0,21.46,0.05,203.61,0.0
tamandare,BR,2.67,7.8,2.83,39.34,0.34,333.79,0.58
sao joao da barra,BR,5.23,14.02,4.37,24.32,1.79,310.42,0.63
aykhal,RU,0.5,0.5,0.04,57.22,0.02,223.64,0.0
magadan,RU,0.5,0.62,1.46,52.93,1.03,240.33,0.08
umm kaddadah,SD,62.29,251.65,0.13,55.08,0.26,175.24,0.0
sidney,AU,10.42,11.24,10.71,85.83,10.37,283.72,1.08
thompson,CA,2.62,2.66,0.65,33.98,0.16,211.95,0.06
sisimiut,GL,1.93,9.22,0.13,65.8,0.07,216.96,0.0
ponta delgada,PT,1.32,5.95,0.31,98.71,0.25,198.6,0.0
jamestown,US,2.09,2.43,6.26,59.37,0.39,220.3,0.15
east london,ZA,1.88,4.46,1.11,57.22,1.42,233.65,0.55
grand forks,US,7.87,10.95,2.23,70.81,0.75,240.33,1.95
la passe,FR,1.08,2.92,0.55,72.24,0.3,208.62,0.27
coquimbo,CL,4.5,10.01,0.93,47.21,0.52,236.99,0.06
bayt al faqih,YE,52.15,125.8,2.49,50.78,2.41,210.29,0.26
santa sylvina,AR,3.17,3.18,0.8,30.76,0.12,303.75,0.18
papatowai,NZ,0.77,1.32,0.2,47.92,0.08,211.95,1.77
hawaiian paradise park,US,2.55,10.41,0.49,56.51,1.79,188.59,0.04
holualoa,US,24.87,27.23,0.98,69.38,21.7,203.61,0.0
fale old settlement,TK,1.1,5.67,0.04,36.12,0.11,223.64,0.0
north platte,US,7.34,9.73,0.86,92.98,0.74,211.95,1.3
edd,ER,52.02,123.29,0.19,72.96,0.5,188.59,0.0
carnarvon,AU,3.44,17.36,0.05,37.19,0.09,230.31,0.46
tarija,BO,6.9,7.19,1.52,59.37,0.35,714.3,0.52
banjarmasin,ID,9.04,10.52,1.44,72.24,4.95,514.03,1.33
